Продукт,"Бел, г","Жир, г","Угл, г","Кал, ккал"
Агар пищевой,"
            4.0          ","
            0.0          ","
            76.0          ","
            301          "
Аджика,"
            1.0          ","
            3.7          ","
            5.8          ","
            59          "
Ажгон,"
            19.7          ","
            14.5          ","
            11.9          ","
            333          "
Аквафаба нутовая,"
            0.4          ","
            0.0          ","
            0.9          ","
            5          "
Аквафаба сублимированная Гала-Гала,"
            6.1          ","
            0.0          ","
            14.0          ","
            84          "
Анис,"
            17.6          ","
            15.9          ","
            35.4          ","
            337          "
Асафетида,"
            0.1          ","
            0.1          ","
            0.1          ","
"
Бадьян,"
            18.0          ","
            16.0          ","
            50.0          ","
            337          "
Базилик свежий,"
            2.5          ","
            0.6          ","
            4.3          ","
            27          "
Базилик сушеный,"
            14.4          ","
            4.0          ","
            61.0          ","
            251          "
Бахарат,"
            10.9          ","
            3.2          ","
            38.3          ","
            255          "
Бербере,"
            2.0          ","
            0.1          ","
            11.0          ","
            71          "
Болдо,"
            7.6          ","
            8.3          ","
            48.6          ","
            313          "
Букет гарни,"
            12.4          ","
            6.5          ","
            26.0          ","
            259          "
Бульонный кубик,"
            2.0          ","
            2.0          ","
            4.0          ","
            40          "
Бумбу,"
            1.0          ","
            0.8          ","
            11.3          ","
            61          "
Валериана,"
            0.0          ","
            0.0          ","
            0.0          ","
"
Ванилин,"
            0.1          ","
            0.1          ","
            12.7          ","
            288          "
Ваниль,"
            1.2          ","
            0.1          ","
            12.5          ","
            287          "
Ванильная эссенция,"
            0.1          ","
            0.1          ","
            12.6          ","
            288          "
Ванильный порошок,"
            1.2          ","
            0.1          ","
            12.5          ","
            287          "
Винный камень,"
            0.0          ","
            0.0          ","
            0.0          ","
"
Воздушный рис,"
            6.3          ","
            0.5          ","
            89.8          ","
            402          "
Галангал (корень),"
            1.8          ","
            0.7          ","
            15.7          ","
            80          "
Галангал сушеный,"
            9.1          ","
            5.9          ","
            58.3          ","
            347          "
Гарам масала,"
            15.0          ","
            15.0          ","
            45.0          ","
            379          "
Гвоздика,"
            6.0          ","
            20.1          ","
            27.0          ","
            323          "
Глютен (клейковина пшеничная),"
            76.0          ","
            0.4          ","
            9.0          ","
            350          "
Горчица,"
            5.7          ","
            6.4          ","
            22.0          ","
            162          "
Горчица 365 дней Русская,"
            7.4          ","
            2.0          ","
            10.8          ","
            91          "
Горчица белая (английская),"
            37.1          ","
            11.1          ","
            5.9          ","
            271          "
Горчица дижонская,"
            9.9          ","
            12.7          ","
            5.3          ","
            143          "
Горчица Махеевъ столовая Русская,"
            9.6          ","
            10.9          ","
            11.0          ","
            181          "
Горчица русская (сарептская),"
            8.7          ","
            11.0          ","
            11.6          ","
            185          "
Горчица чёрная (французская),"
            37.1          ","
            11.1          ","
            5.9          ","
            271          "
Горчичный порошок,"
            37.1          ","
            11.1          ","
            32.6          ","
            378          "
Гремолата,"
            3.7          ","
            0.4          ","
            7.6          ","
            49          "
Дрожжевой экстракт,"
            27.8          ","
            0.0          ","
            8.8          ","
            158          "
Дрожжи,"
            12.7          ","
            2.7          ","
            0.0          ","
            75          "
Дрожжи пивные,"
            12.7          ","
            2.7          ","
            0.0          ","
            75          "
Дрожжи пищевые KAL Yeast Flakes,"
            9.0          ","
            1.0          ","
            14.0          ","
            80          "
Дрожжи прессованные,"
            12.7          ","
            2.7          ","
            8.5          ","
            109          "
Дрожжи сухие быстродействующие Саф-момент,"
            49.0          ","
            6.0          ","
            40.0          ","
            410          "
Дрожжи хлебопекарные сухие дезактивированные Baker’s Bonus RS-190 Star,"
            54.0          ","
            6.0          ","
            40.0          ","
            430          "
Душица (орегано),"
            1.5          ","
            0.0          ","
            5.0          ","
            25          "
Дягиль,"
            4.2          ","
            2.4          ","
            3.1          ","
            10          "
Жасмин,"
            0.1          ","
            0.0          ","
            0.0          ","
            1          "
Желатин Dr.Oetker пищевой,"
            84.0          ","
            0.0          ","
            0.0          ","
            336          "
Желатин листовой,"
            85.0          ","
            0.5          ","
            0.0          ","
            336          "
Желатин пищевой,"
            87.2          ","
            0.4          ","
            0.7          ","
            355          "
Желе Dr.Oetker со вкусом Апельсина,"
            13.1          ","
            0.0          ","
            80.4          ","
            374          "
Желе Dr.Oetker со вкусом Вишни,"
            13.1          ","
            0.0          ","
            80.3          ","
            374          "
Желе Dr.Oetker со вкусом Клубники,"
            14.0          ","
            0.0          ","
            80.0          ","
            388          "
Желе Dr.Oetker со вкусом Лесных ягод,"
            13.1          ","
            0.0          ","
            80.3          ","
            374          "
Желе Dr.Oetker со вкусом Лимона,"
            13.1          ","
            0.0          ","
            80.7          ","
            375          "
Желе Dr.Oetker со вкусом Малины,"
            13.1          ","
            0.0          ","
            80.4          ","
            374          "
Желфикс Dr.Oetker,"
            0.5          ","
            0.0          ","
            0.5          ","
            313          "
Женьшень,"
            0.0          ","
            0.0          ","
            10.0          ","
            41          "
Жидкий дым,"
            0.1          ","
            0.1          ","
            0.1          ","
"
Закваска сухая,"
            11.0          ","
            2.0          ","
            67.0          ","
            330          "
Закваска хлебная ржаная,"
            3.9          ","
            0.7          ","
            26.7          ","
            132          "
Зантоксилум,"
            10.4          ","
            2.1          ","
            42.4          ","
            296          "
Заправка Sen Soy Premium Ореховая для салатов,"
            4.0          ","
            30.0          ","
            12.0          ","
            330          "
Заправка Махеевъ для солянки,"
            0.5          ","
            0.8          ","
            3.4          ","
            23          "
Заправка Салат Бар Гурмикс салатная кунжутная,"
            1.5          ","
            10.0          ","
            20.0          ","
            180          "
Заправка Салат Бар Гурмикс салатная манговая,"
            0.4          ","
            0.0          ","
            16.0          ","
            65          "
Заправка Сэн Сой для фунчозы по-корейски,"
            1.3          ","
            55.0          ","
            10.1          ","
            541          "
Заправка Чим-Чим корейская для моркови,"
            2.0          ","
            75.0          ","
            10.0          ","
            720          "
Заправка Я люблю готовить салатная Итальянский букет и вяленые томаты,"
            0.4          ","
            92.0          ","
            1.7          ","
            836          "
Заправка Я люблю готовить салатная Пряный базилик и пармезан,"
            0.3          ","
            96.0          ","
            1.1          ","
            870          "
Заправка Я люблю готовить салатная Французские пряности и чеснок,"
            0.3          ","
            95.0          ","
            0.8          ","
            860          "
Зелень сушёная,"
            3.0          ","
            0.0          ","
            24.5          ","
            210          "
Зира,"
            12.0          ","
            5.0          ","
            32.0          ","
            112          "
Зубровка душистая,"
            0.0          ","
            0.0          ","
            0.0          ","
"
Имбирь,"
            1.8          ","
            0.8          ","
            15.8          ","
            80          "
Имбирь китайский (крачай),"
            1.8          ","
            0.7          ","
            15.7          ","
            80          "
Имбирь маринованный,"
            0.2          ","
            0.3          ","
            12.5          ","
            51          "
Имбирь сухой,"
            9.1          ","
            6.0          ","
            70.8          ","
            347          "
Иссоп,"
            3.9          ","
            0.6          ","
            0.2          ","
            21          "
Камфора,"
            0.0          ","
            0.0          ","
            0.0          ","
"
